test_case,label,target,functionality
Tum mere liye ek रेंडी jaise ho.,hateful,Woman,MF2
Tum mere liye ek कुटिया jaise ho.,hateful,Woman,MF2
Tum mere liye ek फूहड़ jaise ho.,hateful,Woman,MF2
Tum mere liye ek वेश्या jaise ho.,hateful,Woman,MF2
Tum mere liye ek आदिवासी jaise ho.,hateful,Lower Caste,MF2
Tum mere liye ek कमीने jaise ho.,hateful,Lower Caste,MF2
Tum mere liye ek धोबी jaise ho.,hateful,Lower Caste,MF2
Tum mere liye ek चमार jaise ho.,hateful,Dalit,MF2
Tum mere liye ek भांगी jaise ho.,hateful,Dalit,MF2
Tum mere liye ek फ़ाकिस्तानी jaise ho.,hateful,Pakistani,MF2
Tum mere liye ek पाकी jaise ho.,hateful,Pakistani,MF2
Tum mere liye ek मुल्ले jaise ho.,hateful,Muslim,MF2
Tum mere liye ek जिहादी jaise ho.,hateful,Muslim,MF2
Tum mere liye ek मालाउन jaise ho.,hateful,Hindu,MF2
Tum mere liye ek कांगलू jaise ho.,hateful,Bangladeshi,MF2
Tum mere liye ek छक्के jaise ho.,hateful,Eunuch,MF2
Yeh sirf tum jaise रेंडी ke liye samanya hai.,hateful,Woman,MF2
Yeh sirf tum jaise कुटिया ke liye samanya hai.,hateful,Woman,MF2
Yeh sirf tum jaise फूहड़ ke liye samanya hai.,hateful,Woman,MF2
Yeh sirf tum jaise वेश्या ke liye samanya hai.,hateful,Woman,MF2
Yeh sirf tum jaise आदिवासी ke liye samanya hai.,hateful,Lower Caste,MF2
Yeh sirf tum jaise कमीने ke liye samanya hai.,hateful,Lower Caste,MF2
Yeh sirf tum jaise धोबी ke liye samanya hai.,hateful,Lower Caste,MF2
Yeh sirf tum jaise चमार ke liye samanya hai.,hateful,Dalit,MF2
Yeh sirf tum jaise भांगी ke liye samanya hai.,hateful,Dalit,MF2
Yeh sirf tum jaise फ़ाकिस्तानी ke liye samanya hai.,hateful,Pakistani,MF2
Yeh sirf tum jaise पाकी ke liye samanya hai.,hateful,Pakistani,MF2
Yeh sirf tum jaise मुल्ले ke liye samanya hai.,hateful,Muslim,MF2
Yeh sirf tum jaise जिहादी ke liye samanya hai.,hateful,Muslim,MF2
Yeh sirf tum jaise मालाउन ke liye samanya hai.,hateful,Hindu,MF2
Yeh sirf tum jaise कांगलू ke liye samanya hai.,hateful,Bangladeshi,MF2
Yeh sirf tum jaise छक्के ke liye samanya hai.,hateful,Eunuch,MF2
Ek aur रेंडी.,hateful,Woman,MF2
Ek aur कुटिया.,hateful,Woman,MF2
Ek aur फूहड़.,hateful,Woman,MF2
Ek aur वेश्या.,hateful,Woman,MF2
Ek aur आदिवासी.,hateful,Lower Caste,MF2
Ek aur कमीने.,hateful,Lower Caste,MF2
Ek aur धोबी.,hateful,Lower Caste,MF2
Ek aur चमार.,hateful,Dalit,MF2
Ek aur भांगी.,hateful,Dalit,MF2
Ek aur फ़ाकिस्तानी.,hateful,Pakistani,MF2
Ek aur पाकी.,hateful,Pakistani,MF2
Ek aur मुल्ले.,hateful,Muslim,MF2
Ek aur जिहादी.,hateful,Muslim,MF2
Ek aur मालाउन.,hateful,Hindu,MF2
Ek aur कांगलू.,hateful,Bangladeshi,MF2
Ek aur छक्के.,hateful,Eunuch,MF2
Ve sirph kuch रंडियों ka jhund hain.,hateful,Woman,MF2
Ve sirph kuch कुटियों ka jhund hain.,hateful,Woman,MF2
Ve sirph kuch फूहड़ों ka jhund hain.,hateful,Woman,MF2
Ve sirph kuch वेश्याओं ka jhund hain.,hateful,Woman,MF2
Ve sirph kuch आदिवासियों ka jhund hain.,hateful,Lower Caste,MF2
Ve sirph kuch कमीनों ka jhund hain.,hateful,Lower Caste,MF2
Ve sirph kuch धोबियों ka jhund hain.,hateful,Lower Caste,MF2
Ve sirph kuch चमारों ka jhund hain.,hateful,Dalit,MF2
Ve sirph kuch भांजियों ka jhund hain.,hateful,Dalit,MF2
Ve sirph kuch फ़ाकिस्तानीयों ka jhund hain.,hateful,Pakistani,MF2
Ve sirph kuch पाकीियों ka jhund hain.,hateful,Pakistani,MF2
Ve sirph kuch मुल्लों ka jhund hain.,hateful,Muslim,MF2
Ve sirph kuch जिहादियों ka jhund hain.,hateful,Muslim,MF2
Ve sirph kuch मलऊनों ka jhund hain.,hateful,Hindu,MF2
Ve sirph kuch कंगलुओं ka jhund hain.,hateful,Bangladeshi,MF2
Ve sirph kuch छक्कों ka jhund hain.,hateful,Eunuch,MF2
Tum ek रेंडी ke alawa kuch nahi ho.,hateful,Woman,MF2
Tum ek कुटिया ke alawa kuch nahi ho.,hateful,Woman,MF2
Tum ek फूहड़ ke alawa kuch nahi ho.,hateful,Woman,MF2
Tum ek वेश्या ke alawa kuch nahi ho.,hateful,Woman,MF2
Tum ek आदिवासी ke alawa kuch nahi ho.,hateful,Lower Caste,MF2
Tum ek कमीने ke alawa kuch nahi ho.,hateful,Lower Caste,MF2
Tum ek धोबी ke alawa kuch nahi ho.,hateful,Lower Caste,MF2
Tum ek चमार ke alawa kuch nahi ho.,hateful,Dalit,MF2
Tum ek भांगी ke alawa kuch nahi ho.,hateful,Dalit,MF2
Tum ek फ़ाकिस्तानी ke alawa kuch nahi ho.,hateful,Pakistani,MF2
Tum ek पाकी ke alawa kuch nahi ho.,hateful,Pakistani,MF2
Tum ek मुल्ले ke alawa kuch nahi ho.,hateful,Muslim,MF2
Tum ek जिहादी ke alawa kuch nahi ho.,hateful,Muslim,MF2
Tum ek मालाउन ke alawa kuch nahi ho.,hateful,Hindu,MF2
Tum ek कांगलू ke alawa kuch nahi ho.,hateful,Bangladeshi,MF2
Tum ek छक्के ke alawa kuch nahi ho.,hateful,Eunuch,MF2
Vishisht रेंडी vyavahaar.,hateful,Woman,MF2
Vishisht कुटिया vyavahaar.,hateful,Woman,MF2
Vishisht फूहड़ vyavahaar.,hateful,Woman,MF2
Vishisht वेश्या vyavahaar.,hateful,Woman,MF2
Vishisht आदिवासी vyavahaar.,hateful,Lower Caste,MF2
Vishisht कमीने vyavahaar.,hateful,Lower Caste,MF2
Vishisht धोबी vyavahaar.,hateful,Lower Caste,MF2
Vishisht चमार vyavahaar.,hateful,Dalit,MF2
Vishisht भांगी vyavahaar.,hateful,Dalit,MF2
Vishisht फ़ाकिस्तानी vyavahaar.,hateful,Pakistani,MF2
Vishisht पाकी vyavahaar.,hateful,Pakistani,MF2
Vishisht मुल्ले vyavahaar.,hateful,Muslim,MF2
Vishisht जिहादी vyavahaar.,hateful,Muslim,MF2
Vishisht मालाउन vyavahaar.,hateful,Hindu,MF2
Vishisht कांगलू vyavahaar.,hateful,Bangladeshi,MF2
Vishisht छक्के vyavahaar.,hateful,Eunuch,MF2
रेंडी khud ko niyantrit bhi nahin kar sakte.,hateful,Woman,MF2
कुटिया khud ko niyantrit bhi nahin kar sakte.,hateful,Woman,MF2
फूहड़ khud ko niyantrit bhi nahin kar sakte.,hateful,Woman,MF2
वेश्या khud ko niyantrit bhi nahin kar sakte.,hateful,Woman,MF2
आदिवासी khud ko niyantrit bhi nahin kar sakte.,hateful,Lower Caste,MF2
कमीने khud ko niyantrit bhi nahin kar sakte.,hateful,Lower Caste,MF2
धोबी khud ko niyantrit bhi nahin kar sakte.,hateful,Lower Caste,MF2
चमार khud ko niyantrit bhi nahin kar sakte.,hateful,Dalit,MF2
भांगी khud ko niyantrit bhi nahin kar sakte.,hateful,Dalit,MF2
फ़ाकिस्तानी khud ko niyantrit bhi nahin kar sakte.,hateful,Pakistani,MF2
पाकी khud ko niyantrit bhi nahin kar sakte.,hateful,Pakistani,MF2
मुल्ले khud ko niyantrit bhi nahin kar sakte.,hateful,Muslim,MF2
जिहादी khud ko niyantrit bhi nahin kar sakte.,hateful,Muslim,MF2
मालाउन khud ko niyantrit bhi nahin kar sakte.,hateful,Hindu,MF2
कांगलू khud ko niyantrit bhi nahin kar sakte.,hateful,Bangladeshi,MF2
छक्के khud ko niyantrit bhi nahin kar sakte.,hateful,Eunuch,MF2
Is desh me bahut sare रेंडी hain.,hateful,Woman,MF2
Is desh me bahut sare कुटिया hain.,hateful,Woman,MF2
Is desh me bahut sare फूहड़ hain.,hateful,Woman,MF2
Is desh me bahut sare वेश्या hain.,hateful,Woman,MF2
Is desh me bahut sare आदिवासी hain.,hateful,Lower Caste,MF2
Is desh me bahut sare कमीने hain.,hateful,Lower Caste,MF2
Is desh me bahut sare धोबी hain.,hateful,Lower Caste,MF2
Is desh me bahut sare चमार hain.,hateful,Dalit,MF2
Is desh me bahut sare भांगी hain.,hateful,Dalit,MF2
Is desh me bahut sare फ़ाकिस्तानी hain.,hateful,Pakistani,MF2
Is desh me bahut sare पाकी hain.,hateful,Pakistani,MF2
Is desh me bahut sare मुल्ले hain.,hateful,Muslim,MF2
Is desh me bahut sare जिहादी hain.,hateful,Muslim,MF2
Is desh me bahut sare मालाउन hain.,hateful,Hindu,MF2
Is desh me bahut sare कांगलू hain.,hateful,Bangladeshi,MF2
Is desh me bahut sare छक्के hain.,hateful,Eunuch,MF2
Tumhe nahi pata ki tum ek रेंडी ho.,hateful,Woman,MF2
Tumhe nahi pata ki tum ek कुटिया ho.,hateful,Woman,MF2
Tumhe nahi pata ki tum ek फूहड़ ho.,hateful,Woman,MF2
Tumhe nahi pata ki tum ek वेश्या ho.,hateful,Woman,MF2
Tumhe nahi pata ki tum ek आदिवासी ho.,hateful,Lower Caste,MF2
Tumhe nahi pata ki tum ek कमीने ho.,hateful,Lower Caste,MF2
Tumhe nahi pata ki tum ek धोबी ho.,hateful,Lower Caste,MF2
Tumhe nahi pata ki tum ek चमार ho.,hateful,Dalit,MF2
Tumhe nahi pata ki tum ek भांगी ho.,hateful,Dalit,MF2
Tumhe nahi pata ki tum ek फ़ाकिस्तानी ho.,hateful,Pakistani,MF2
Tumhe nahi pata ki tum ek पाकी ho.,hateful,Pakistani,MF2
Tumhe nahi pata ki tum ek मुल्ले ho.,hateful,Muslim,MF2
Tumhe nahi pata ki tum ek जिहादी ho.,hateful,Muslim,MF2
Tumhe nahi pata ki tum ek मालाउन ho.,hateful,Hindu,MF2
Tumhe nahi pata ki tum ek कांगलू ho.,hateful,Bangladeshi,MF2
Tumhe nahi pata ki tum ek छक्के ho.,hateful,Eunuch,MF2
In रंडियों ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Woman,MF2
In कुटियों ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Woman,MF2
In फूहड़ों ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Woman,MF2
In वेश्याओं ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Woman,MF2
In आदिवासियों ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Lower Caste,MF2
In कमीनों ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Lower Caste,MF2
In धोबियों ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Lower Caste,MF2
In चमारों ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Dalit,MF2
In भांजियों ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Dalit,MF2
In फ़ाकिस्तानीयों ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Pakistani,MF2
In पाकीियों ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Pakistani,MF2
In मुल्लों ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Muslim,MF2
In जिहादियों ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Muslim,MF2
In मलऊनों ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Hindu,MF2
In कंगलुओं ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Bangladeshi,MF2
In छक्कों ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Eunuch,MF2
तुम मेरे लिए एक randi जैसे  हो,hateful,Woman,MF3
तुम मेरे लिए एक kutiya जैसे  हो,hateful,Woman,MF3
तुम मेरे लिए एक fuhad जैसे  हो,hateful,Woman,MF3
तुम मेरे लिए एक veshya जैसे  हो,hateful,Woman,MF3
तुम मेरे लिए एक adivasi जैसी हो,hateful,Lower Caste,MF3
तुम मेरे लिए एक kameene जैसी हो,hateful,Lower Caste,MF3
तुम मेरे लिए एक dhobi जैसी हो,hateful,Lower Caste,MF3
तुम मेरे लिए एक chamar जैसी हो,hateful,Dalit,MF3
तुम मेरे लिए एक bhaangi जैसी हो,hateful,Dalit,MF3
तुम मेरे लिए एक fuckistani जैसी हो,hateful,Pakistani,MF3
तुम मेरे लिए एक paki जैसी हो,hateful,Pakistani,MF3
तुम मेरे लिए एक mulle जैसी हो,hateful,Muslim,MF3
तुम मेरे लिए एक jihadi जैसी हो,hateful,Muslim,MF3
तुम मेरे लिए एक malaun जैसी हो,hateful,Hindu,MF3
तुम मेरे लिए एक kanglu जैसी हो,hateful,Bangladeshi,MF3
तुम मेरे लिए एक chakke जैसी हो,hateful,Eunuch,MF3
यह सिर्फ तुम जैसे randi के लिए सामान्य है.,hateful,Woman,MF3
यह सिर्फ तुम जैसे kutiya के लिए सामान्य है.,hateful,Woman,MF3
यह सिर्फ तुम जैसे fuhad के लिए सामान्य है.,hateful,Woman,MF3
यह सिर्फ तुम जैसे veshya के लिए सामान्य है.,hateful,Woman,MF3
यह सिर्फ तुम जैसी adivasi के लिए सामान्य है.,hateful,Lower Caste,MF3
यह सिर्फ तुम जैसी kameene के लिए सामान्य है.,hateful,Lower Caste,MF3
यह सिर्फ तुम जैसी dhobi के लिए सामान्य है.,hateful,Lower Caste,MF3
यह सिर्फ तुम जैसी chamar के लिए सामान्य है.,hateful,Dalit,MF3
यह सिर्फ तुम जैसी bhaangi के लिए सामान्य है.,hateful,Dalit,MF3
यह सिर्फ तुम जैसी fuckistani के लिए सामान्य है.,hateful,Pakistani,MF3
यह सिर्फ तुम जैसी paki के लिए सामान्य है.,hateful,Pakistani,MF3
यह सिर्फ तुम जैसी mulle के लिए सामान्य है.,hateful,Muslim,MF3
यह सिर्फ तुम जैसी jihadi के लिए सामान्य है.,hateful,Muslim,MF3
यह सिर्फ तुम जैसी malaun के लिए सामान्य है.,hateful,Hindu,MF3
यह सिर्फ तुम जैसी kanglu के लिए सामान्य है.,hateful,Bangladeshi,MF3
यह सिर्फ तुम जैसी chakke के लिए सामान्य है.,hateful,Eunuch,MF3
एक और randi.,hateful,Woman,MF3
एक और kutiya.,hateful,Woman,MF3
एक और fuhad.,hateful,Woman,MF3
एक और veshya.,hateful,Woman,MF3
एक और adivasi.,hateful,Lower Caste,MF3
एक और kameene.,hateful,Lower Caste,MF3
एक और dhobi.,hateful,Lower Caste,MF3
एक और chamar.,hateful,Dalit,MF3
एक और bhaangi.,hateful,Dalit,MF3
एक और fuckistani.,hateful,Pakistani,MF3
एक और paki.,hateful,Pakistani,MF3
एक और mulle.,hateful,Muslim,MF3
एक और jihadi.,hateful,Muslim,MF3
एक और malaun.,hateful,Hindu,MF3
एक और kanglu.,hateful,Bangladeshi,MF3
एक और chakke.,hateful,Eunuch,MF3
वे सिर्फ कुछ  randiyon का झुण्ड हैं.,hateful,Woman,MF3
वे सिर्फ कुछ  kutiyon का झुण्ड हैं.,hateful,Woman,MF3
वे सिर्फ कुछ  fuhadon का झुण्ड हैं.,hateful,Woman,MF3
वे सिर्फ कुछ  veshyaon का झुण्ड हैं.,hateful,Woman,MF3
वे सिर्फ कुछ  adivasiyon का झुण्ड हैं.,hateful,Lower Caste,MF3
वे सिर्फ कुछ  kameenon का झुण्ड हैं.,hateful,Lower Caste,MF3
वे सिर्फ कुछ  dhobiyon का झुण्ड हैं.,hateful,Lower Caste,MF3
वे सिर्फ कुछ  chamaron का झुण्ड हैं.,hateful,Dalit,MF3
वे सिर्फ कुछ  bhaangiyon का झुण्ड हैं.,hateful,Dalit,MF3
वे सिर्फ कुछ  fuckistaniyon का झुण्ड हैं.,hateful,Pakistani,MF3
वे सिर्फ कुछ  pakiyon का झुण्ड हैं.,hateful,Pakistani,MF3
वे सिर्फ कुछ  mullon का झुण्ड हैं.,hateful,Muslim,MF3
वे सिर्फ कुछ  jihadiyon का झुण्ड हैं.,hateful,Muslim,MF3
वे सिर्फ कुछ  malaunon का झुण्ड हैं.,hateful,Hindu,MF3
वे सिर्फ कुछ  kangladeshion का झुण्ड हैं.,hateful,Bangladeshi,MF3
वे सिर्फ कुछ  chakkon का झुण्ड हैं.,hateful,Eunuch,MF3
तुम एक randi के अलावा कुछ नहीं हो.,hateful,Woman,MF3
तुम एक kutiya के अलावा कुछ नहीं हो.,hateful,Woman,MF3
तुम एक fuhad के अलावा कुछ नहीं हो.,hateful,Woman,MF3
तुम एक veshya के अलावा कुछ नहीं हो.,hateful,Woman,MF3
तुम एक adivasi के अलावा कुछ नहीं हो.,hateful,Lower Caste,MF3
तुम एक kameene के अलावा कुछ नहीं हो.,hateful,Lower Caste,MF3
तुम एक dhobi के अलावा कुछ नहीं हो.,hateful,Lower Caste,MF3
तुम एक chamar के अलावा कुछ नहीं हो.,hateful,Dalit,MF3
तुम एक bhaangi के अलावा कुछ नहीं हो.,hateful,Dalit,MF3
तुम एक fuckistani के अलावा कुछ नहीं हो.,hateful,Pakistani,MF3
तुम एक paki के अलावा कुछ नहीं हो.,hateful,Pakistani,MF3
तुम एक mulle के अलावा कुछ नहीं हो.,hateful,Muslim,MF3
तुम एक jihadi के अलावा कुछ नहीं हो.,hateful,Muslim,MF3
तुम एक malaun के अलावा कुछ नहीं हो.,hateful,Hindu,MF3
तुम एक kanglu के अलावा कुछ नहीं हो.,hateful,Bangladeshi,MF3
तुम एक chakke के अलावा कुछ नहीं हो.,hateful,Eunuch,MF3
विशिष्ट  randi व्यवहार.,hateful,Woman,MF3
विशिष्ट  kutiya व्यवहार.,hateful,Woman,MF3
विशिष्ट  fuhad व्यवहार.,hateful,Woman,MF3
विशिष्ट  veshya व्यवहार.,hateful,Woman,MF3
विशिष्ट  adivasi व्यवहार.,hateful,Lower Caste,MF3
विशिष्ट  kameene व्यवहार.,hateful,Lower Caste,MF3
विशिष्ट  dhobi व्यवहार.,hateful,Lower Caste,MF3
विशिष्ट  chamar व्यवहार.,hateful,Dalit,MF3
विशिष्ट  bhaangi व्यवहार.,hateful,Dalit,MF3
विशिष्ट  fuckistani व्यवहार.,hateful,Pakistani,MF3
विशिष्ट  paki व्यवहार.,hateful,Pakistani,MF3
विशिष्ट  mulle व्यवहार.,hateful,Muslim,MF3
विशिष्ट  jihadi व्यवहार.,hateful,Muslim,MF3
विशिष्ट  malaun व्यवहार.,hateful,Hindu,MF3
विशिष्ट  kanglu व्यवहार.,hateful,Bangladeshi,MF3
विशिष्ट  chakke व्यवहार.,hateful,Eunuch,MF3
Randi खुद को नियंत्रित भी नहीं कर सकते.,hateful,Woman,MF3
Kutiya खुद को नियंत्रित भी नहीं कर सकते.,hateful,Woman,MF3
Fuhad खुद को नियंत्रित भी नहीं कर सकते.,hateful,Woman,MF3
Veshya खुद को नियंत्रित भी नहीं कर सकते.,hateful,Woman,MF3
Adivasi खुद को नियंत्रित भी नहीं कर सकती.,hateful,Lower Caste,MF3
Kameene खुद को नियंत्रित भी नहीं कर सकती.,hateful,Lower Caste,MF3
Dhobi खुद को नियंत्रित भी नहीं कर सकती.,hateful,Lower Caste,MF3
Chamar खुद को नियंत्रित भी नहीं कर सकती.,hateful,Dalit,MF3
Bhaangi खुद को नियंत्रित भी नहीं कर सकती.,hateful,Dalit,MF3
fuckistani खुद को नियंत्रित भी नहीं कर सकती.,hateful,Pakistani,MF3
Paki खुद को नियंत्रित भी नहीं कर सकती.,hateful,Pakistani,MF3
Mulle खुद को नियंत्रित भी नहीं कर सकती.,hateful,Muslim,MF3
Jihadi खुद को नियंत्रित भी नहीं कर सकती.,hateful,Muslim,MF3
Malaun खुद को नियंत्रित भी नहीं कर सकती.,hateful,Hindu,MF3
Kanglu खुद को नियंत्रित भी नहीं कर सकती.,hateful,Bangladeshi,MF3
Chakke खुद को नियंत्रित भी नहीं कर सकती.,hateful,Eunuch,MF3
इस देश में बहुत सारे randi  हैं.,hateful,Woman,MF3
इस देश में बहुत सारे kutiya  हैं.,hateful,Woman,MF3
इस देश में बहुत सारे fuhad  हैं.,hateful,Woman,MF3
इस देश में बहुत सारे veshya  हैं.,hateful,Woman,MF3
इस देश में बहुत सारे adivasi  हैं.,hateful,Lower Caste,MF3
इस देश में बहुत सारे kameene  हैं.,hateful,Lower Caste,MF3
इस देश में बहुत सारे dhobi  हैं.,hateful,Lower Caste,MF3
इस देश में बहुत सारे chamar  हैं.,hateful,Dalit,MF3
इस देश में बहुत सारे bhaangi  हैं.,hateful,Dalit,MF3
इस देश में बहुत सारे fuckistani  हैं.,hateful,Pakistani,MF3
इस देश में बहुत सारे paki  हैं.,hateful,Pakistani,MF3
इस देश में बहुत सारे mulle  हैं.,hateful,Muslim,MF3
इस देश में बहुत सारे jihadi  हैं.,hateful,Muslim,MF3
इस देश में बहुत सारे malaun  हैं.,hateful,Hindu,MF3
इस देश में बहुत सारे kanglu  हैं.,hateful,Bangladeshi,MF3
इस देश में बहुत सारे chakke  हैं.,hateful,Eunuch,MF3
तुम्हे नहीं पता की तुम एक  randi  हो.,hateful,Woman,MF3
तुम्हे नहीं पता की तुम एक  kutiya  हो.,hateful,Woman,MF3
तुम्हे नहीं पता की तुम एक  fuhad  हो.,hateful,Woman,MF3
तुम्हे नहीं पता की तुम एक  veshya  हो.,hateful,Woman,MF3
तुम्हे नहीं पता की तुम एक  adivasi  हो.,hateful,Lower Caste,MF3
तुम्हे नहीं पता की तुम एक  kameene  हो.,hateful,Lower Caste,MF3
तुम्हे नहीं पता की तुम एक  dhobi  हो.,hateful,Lower Caste,MF3
तुम्हे नहीं पता की तुम एक  chamar  हो.,hateful,Dalit,MF3
तुम्हे नहीं पता की तुम एक  bhaangi  हो.,hateful,Dalit,MF3
तुम्हे नहीं पता की तुम एक  fuckistani  हो.,hateful,Pakistani,MF3
तुम्हे नहीं पता की तुम एक  paki  हो.,hateful,Pakistani,MF3
तुम्हे नहीं पता की तुम एक  mulle  हो.,hateful,Muslim,MF3
तुम्हे नहीं पता की तुम एक  jihadi  हो.,hateful,Muslim,MF3
तुम्हे नहीं पता की तुम एक  malaun  हो.,hateful,Hindu,MF3
तुम्हे नहीं पता की तुम एक  kanglu  हो.,hateful,Bangladeshi,MF3
तुम्हे नहीं पता की तुम एक  chakke  हो.,hateful,Eunuch,MF3
इन randiyon के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Woman,MF3
इन kutiyon के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Woman,MF3
इन fuhadon के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Woman,MF3
इन veshyaon के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Woman,MF3
इन adivasiyon के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Lower Caste,MF3
इन kameenon के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Lower Caste,MF3
इन dhobiyon के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Lower Caste,MF3
इन chamaron के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Dalit,MF3
इन bhaangiyon के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Dalit,MF3
इन fuckistaniyon के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Pakistani,MF3
इन pakiyon के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Pakistani,MF3
इन mullon के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Muslim,MF3
इन jihadiyon के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Muslim,MF3
इन malaunon के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Hindu,MF3
इन kangladeshion के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Bangladeshi,MF3
इन chakkon के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful,Eunuch,MF3
आई वांट टू किल आल हिन्दुस्,hateful,Hindu,MF4
आई वांट टू किल आल मुस्लिम्स,hateful,Muslim,MF4
आई वांट टू किल आल बांग्लादेशीस,hateful,Bangladeshi,MF4
आई वांट टू किल आल पकिस्तानीस,hateful,Pakistani,MF4
आई वांट टू किल आल दी ट्रांस पीपल,hateful,Eunuch,MF4
आई वांट टू किल आल दलित्स,hateful,Dalit,MF4
आई वांट टू किल आल विमेंस,hateful,Woman,MF4
आई वांट टू किल आल दी लोअर कास्ट पीपल,hateful,Lower Caste,MF4
आई वांट टू किल आल ब्रिटिश,hateful,British,MF4
आई वांट टू किल आल दी होमोसेक्सुअल पीपल,hateful,Homosexual,MF4
आई हेट आल दी हिन्दुस् ऑफ़ डिस सोसायटी,hateful,Hindu,MF4
आई हेट आल दी मुस्लिम्स ऑफ़ डिस सोसायटी,hateful,Muslim,MF4
आई हेट आल दी बांग्लादेशीस ऑफ़ डिस सोसायटी,hateful,Bangladeshi,MF4
